Name,page,Category,Paper 1,paper_1_link,Paper 2,paper_2_link
"Berrington, Ann",https://www.southampton.ac.uk/demography/about/staff/amb6.page,"Family, social demography","Perpetual postponers? Women's, men's and couple's fertility intentions and subsequent fertility behaviour",https://eprints.soton.ac.uk/34148/,Marital dissolution among the 1958 British birth cohort: The role of cohabitation,https://www.tandfonline.com/doi/abs/10.1080/00324720308066
"Biddlecom, Ann E",https://www.guttmacher.org/about/staff/ann-biddlecom,Fertility,Absent and problematic men: Demographic accounts of male reproductive roles,https://doi.org/10.1111/j.1728-4457.2000.00081.x,"Health care utilization, family context, and adaptation among immigrants to the United States",https://www.jstor.org/stable/2137215
"Bietsch, Kristin",https://www.linkedin.com/in/kristin-bietsch-81036386,Fertility,Family Planning During and After the West African Ebola Crisis,https://onlinelibrary.wiley.com/doi/full/10.1111/sifp.12110,The Maximum CPR Model: a demographic tool for family planning policy,https://gatesopenresearch.org/articles/3-1736
"Billingsley, Sunnee ",https://www.su.se/english/profiles/sbill-1.186892,Fertility,The post-communist fertility puzzle,https://doi.org/10.1007/s11113-009-9136-7,Family policy and fertility intentions in 21 European countries,https://doi.org/10.1111/jomf.12097
"Bloemraad, Irene",https://sociology.berkeley.edu/faculty/irene-bloemraad,"Migration, environment, economic demography","Who Claims Dual Citizenship? The Limits of Postnationalism, the Possibilities of Transnationalism, and the Persistence of Traditional Citizenship",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1747-7379.2004.tb00203.x,The promise and pitfalls of comparative research design in the study of migration,https://academic.oup.com/migration/article/1/1/27/941988
"Boen, Courtney",http://web.sas.upenn.edu/cboen/,"Mortality, health, aging, biodemography","The role of socioeconomic factors in Black-White health inequities across the life course: Point-in-time measures, long-term exposures, and differential health returns",https://www.sciencedirect.com/science/article/abs/pii/S0277953616305676,The physiological impacts of wealth shocks in late life: Evidence from the Great Recession,https://www.sciencedirect.com/science/article/abs/pii/S0277953615302884
"Bohk-Ewald, Christiana",https://www.demogr.mpg.de/en/about_us_6113/staff_directory_1899/christina_bohk_ewald_3264,"Mathematical, statistical, digital demography, population projection",Forecast accuracy hardly improves with method complexity when completing cohort fertility,10.1073/pnas.1722364115,Lifespan disparity as an additional indicator for evaluating mortality forecasts,10.1007/s13524-017-0584-0
"Booth, Heather",https://researchers.anu.edu.au/researchers/booth-h,"Mathematical, statistical, digital demography, population projection",Demographic forecasting: 1980 to 2005 in review,https://www.sciencedirect.com/science/article/abs/pii/S016920700600046X,Applying Lee-Carter under conditions of variable mortality decline,https://www.tandfonline.com/doi/abs/10.1080/00324720215935
"Bordone, Valeria",https://sites.google.com/view/valeriabordone,"Family, social demography",Contact and proximity of older people to their adult children: A comparison between Italy and Sweden,https://onlinelibrary.wiley.com/doi/abs/10.1002/psp.559,Patterns of grandparental child care across Europe: the role of the policy context and working mothers' need,https://www.cambridge.org/core/journals/ageing-and-society/article/patterns-of-grandparental-child-care-across-europe-the-role-of-the-policy-context-and-working-mothers-need/FD999CE0803BE444D37D1A9CD69C7175
"Boucher, Marie-Pier Bergeron",https://www.sdu.dk/en/forskning/forskningsenheder/samf/cpop/about_the_centre/our_people/cpop_dem/marie_pier_bergeron_boucher,"Mathematical, statistical, digital demography, population projection",Decomposing changes in life expectancy: Compression versus shifting mortality,https://www.jstor.org/stable/26331991?seq=1#metadata_info_tab_contents,Coherent forecasts of mortality with compositional data analysis,https://www.jstor.org/stable/26332204#metadata_info_tab_contents
"Bourdais, Céline Le",https://mcgill.ca/sociology/contact-us/faculty/lebourdais,"Family, social demography",Changes in conjugal life in Canada: Is cohabitation progressively replacing marriage?,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.0022-2445.2004.00063.x?casa_token=OOyVhjSzY5gAAAAA%3AqxI77nBLLZXtpidurWn66jHC0VyR16VbnGBCPp4-Yp3KMv3pt5iUfnFn4i31fGTglIhjvxU4q0vxV8E,Impact of Conjugal Separation on Women’s Income in Canada – Does the Type of Union Matter,https://www.demographic-research.org/volumes/vol35/50/
"Bowes, Alison ",http://www.cpc.ac.uk/about_us/the_team/7/Alison_Bowes#staff,"Mortality, health, aging, biodemography",Time for care: exploring time use by carers of older people,https://www.cambridge.org/core/journals/ageing-and-society/article/time-for-care-exploring-time-use-by-carers-of-older-people/8C6670F476D5B0034A57F39183CCF4CE,A collaborative exploration of the reasons for lower satisfaction with services among Bangladeshi and Pakistani social care users,http://onlinelibrary.wiley.com/doi/10.1111/hsc.12411/pdf
"Bradley, Sarah",https://www.shopsplusproject.org/our-people/sarah-bradley,Fertility,Revising unmet need for family planning,https://dhsprogram.com/publications/publication-as25-analytical-studies.cfm,"Understanding Unmet Need: History, Theory, and Measurement",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1728-4465.2014.00381.x
"Brand, Jennie",http://www.profjenniebrand.com/,"Migration, environment, economic demography",Who benefits most from college? Evidence for negative selection in heterogeneous economic returns to higher education,https://journals.sagepub.com/doi/abs/10.1177/0003122410363567,Regression and matching estimates of the effects of elite college attendance on educational and career achievement,https://www.sciencedirect.com/science/article/abs/pii/S0049089X05000268
"Branden, Maria",https://liu.se/en/employee/marbr31,"Family, social demography","Couples' education and regional mobility-the importance of occupation, income and gender",https://doi.org/10.1002/psp.1730,"Residential context and COVID-19 mortality among adults aged 70 years and older in Stockholm: a population-based, observational study using individual-level data",https://doi.org/10.1016/S2666-7568(20)30016-7
"Brauner-Otto, Sarah",https://www.mcgill.ca/sociology/contact-us/faculty/brauner-otto,Fertility,The spread of health services and fertility transition,https://link.springer.com/article/10.1353/dem.2007.0041,"Parental family experiences, the timing of first sex, and contraception",https://www.sciencedirect.com/science/article/abs/pii/S0049089X10001316
"Bree, Sandra",https://sandrabree.weebly.com/english.html,"Family, social demography","Changes in family size over generations (France, 1850-1966)",https://doi.org/10.3917/popu.1702.0309 ,Where did the first divorced people live in Paris and its suburbs?,https://doi.org/10.1080/1081602X.2019.1669207 
"Brown, Susan",https://www.bgsu.edu/arts-and-sciences/sociology/people/susan-l-brown.html,"Family, social demography","Marriage, Cohabitation, and Divorce in Later Life ",https://academic.oup.com/innovateage/article/1/2/igx015/4157719,Families in America,https://www.ucpress.edu/book/9780520285897/families-in-america
"Cahill, Niamh",https://www.maynoothuniversity.ie/people/niamh-cahill,"Mathematical, statistical, digital demography, population projection","Modern contraceptive use, unmet need, and demand satisfied among women of reproductive age who are married or in a union in the focus countries of the Family Planning 2020 initiative: a systematic analysis using the Family Planning Estimation Tool",https://www.sciencedirect.com/science/article/pii/S0140673617331045,"Levels and trends in contraceptive prevalence, unmet need, and demand for family planning for 29 states and union territories in India: a modelling study using the Family Planning Estimation Tool",https://www.sciencedirect.com/science/article/pii/S2214109X17300335
"Cambois, Emmanuelle",https://www.ined.fr/en/research/researchers/Cambois+Emmanuelle,"Mortality, health, aging, biodemography","Social inequalities in disability-free life expectancy in the french male population, 1980-1991",https://doi.org/10.1353/dem.2001.0033,Aging and health in France: an unexpected expansion of disability in mid-adulthood over recent years,https://doi.org/10.1093/eurpub/cks136
"Carlson, Marcia",https://sociology.wisc.edu/staff/carlson-marcy/,"Family, social demography",Family structure and children's behavioral and cognitive outcomes,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1741-3737.2001.00779.x,Union formation in fragile families,https://link.springer.com/article/10.1353/dem.2004.0012
"Caselli, Graziella",https://scholar.google.com/citations?user=Trf4DAkAAAAJ&hl=it,"Mortality, health, aging, biodemography","Three dimensions of the survival curve: Horizontalization, verticalization, and longevity extension",https://doi.org/10.1353/dem.2005.0012,Epidemiologic transition theory exceptions,https://www.jstor.org/stable/29788712
"Cassels, Susan",https://susan-cassels.squarespace.com/,"Migration, environment, economic demography","Do Migrants Degrade Coastal Environments? Migration, Natural Resource Extraction and Poverty in North Sulawesi, Indonesia",https://link.springer.com/content/pdf/10.1007/s10745-005-4142-9.pdf,Mathematical Models for HIV Transmission Dynamics,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3387534/
"Castro, Marcia",https://www.hsph.harvard.edu/marcia-castro/,"Mortality, health, aging, biodemography",Malaria risk on the Amazon frontier,https://www.pnas.org/content/103/7/2452.short,Brazil's unified health system: the first 30 years and prospects for the future,https://www.sciencedirect.com/science/article/abs/pii/S0140673619312437
"Cavenaghi, Suzana",https://iussp.org/en/directoryprofile/22396,Fertility,"Mapping the Timing, Pace, and Scale of the Fertility Transition in Brazil",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1728-4457.2010.00330.x,Fertility and development: evidence from Brazil,https://www.jstor.org/stable/3180829?seq=1#metadata_info_tab_contents
"Chae, Sophia",https://sophiachae.org/,"Family, social demography",Parental Divorce and Children's Schooling in Rural Malawi,https://doi.org/10.1007/s13524-016-0521-7,"Timing of Orphanhood, Early Sexual Debut, and Early Marriage in Four Sub-Saharan African Countries",https://doi.org/10.1111/j.1728-4465.2013.00349.x
"Chao, Fengqing",https://www.fengqingchao.com/,"Mathematical, statistical, digital demography, population projection",Systematic assessment of the sex ratio at birth for all countries and estimation of national imbalances and regional reference level,https://www.pnas.org/content/116/19/9303,National and regional under-5 mortality rate by economic status for low-income and middle-income countries: a systematic assessment,https://www.thelancet.com/action/showPdf?pii=S2214-109X%2818%2930059-7
"Charles-Edwards, Elin",https://sees.uq.edu.au/profile/9017/elin-charles-edwards,"Migration, environment, economic demography",Where people move and when: temporary population mobility in Australia,https://search.informit.com.au/documentSummary;dn=157293264384755;res=IELAPA,Internal migration and development: Comparing migration intensities around the world,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1728-4457.2015.00025.x
"Cheng, Siwei",https://siweicheng.weebly.com/research.html,"Migration, environment, economic demography",A life course trajectory framework for understanding the intracohort pattern of wage inequality,https://www.journals.uchicago.edu/doi/abs/10.1086/679103,The accumulation of (dis) advantage: The intersection of gender and race in the long-term wage effect of marriage,dis advantage: The intersection of gender and race in the long-term wage effect of marriage]https://journals.sagepub.com/doi/abs/10.1177/0003122415621263
"Choi, Kate",https://www.katehchoi.com/,"Family, social demography",Fertility in the context of Mexican migration to the United States: A case for incorporating the pre-migration fertility of immigrants,https://www.jstor.org/stable/26348215?seq=1#metadata_info_tab_contents,"Marriage‐Market Constraints and Mate‐Selection Behavior: Racial, Ethnic, and Gender Differences in Intermarriage",https://onlinelibrary.wiley.com/doi/abs/10.1111/jomf.12346
"Clark, Shelley",https://www.mcgill.ca/sociology/contact-us/faculty/clark,"Family, social demography",The impact of childcare on poor urban Women’s economic empowerment in Africa,"https://link.springer.com/article/10.1007/s13524-019-00793-3#:~:text=This%20randomized%20control%20trial%20study,women's%20participation%20in%20paid%20work.&text=These%20findings%20demonstrate%20that%20the,marital%20status%20and%20across%20outcomes.",Divorce in Sub-Saharan Africa: Are Unions Becoming Less Stable?,https://www.jstor.org/stable/24638576#metadata_info_tab_contents
"Coast, Ernestina",https://www.lse.ac.uk/international-development/people/ernestina-coast,"Mortality, health, aging, biodemography",Maasai demography,https://discovery.ucl.ac.uk/1317547/1/247063.pdf,"Local understandings of, and responses to, HIV: Rural-urban migrants in Tanzania",https://www.sciencedirect.com/science/article/abs/pii/S0277953606001420
"Coffey, Diane",https://sites.google.com/site/dianelcoffey/,Fertility,Pre-pregnancy body mass and weight gain during pregnancy in India and sub-Saharan Africa,https://sites.google.com/site/dianelcoffey/research/Coffey2015_PNAS.pdf?attredirects=0&d=1,"Costs and consequences of a cash transfer for hospital births in a rural district of Uttar Pradesh, India",https://sites.google.com/site/dianelcoffey/research/Coffey_2014_SSM.pdf?attredirects=0&d=1
"Colen, Cynthia",https://sociology.osu.edu/people/colen.3,"Mortality, health, aging, biodemography",Racial disparities in health among nonpoor African Americans and Hispanics: The role of acute and chronic discrimination,https://www.sciencedirect.com/science/article/pii/S0277953617302903?casa_token=1DT5gHh26_MAAAAA:TCiUh_qo8BV2iRybnSjRs7pT_AX87CkL0T_4Fg6xzuXLyEVo0ZTYqW5Fj7Pc7Rnwj-m54p-UqT0,The intergenerational transmission of discrimination: children's experiences of unfair treatment and their mothers' health at midlife,https://journals.sagepub.com/doi/abs/10.1177/0022146519887347
"Corker, Jamaica",https://iussp.org/en/directoryprofile/23316,Fertility,Fertility and Child Mortality in Urban West Africa: Leveraging geo-referenced data to move beyond the urban/rural dichotomy,https://pubmed.ncbi.nlm.nih.gov/28943812/,Urbanization and Demographic Change in Sub-Saharan Africa: Three essays on fertility and child mortality differentials in a rapidly urbanizing context,https://repository.upenn.edu/cgi/viewcontent.cgi?article=3055&context=edissertations
"Cossman, Lynne",https://en.wikipedia.org/wiki/Lynne_Cossman,"Mortality, health, aging, biodemography",Reconsidering the Rural-Urban Continuum in Rural Health Research: A Test of Stable Relationships Using Mortality as a Health Measure,https://link.springer.com/article/10.1007/s11113-008-9069-6,Persistent Clusters of Mortality in the United States,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2089111/
"Cotton, Cassandra",https://isearch.asu.edu/profile/3244355,"Family, social demography",Long-Distance Mothering in Urban Kenya,https://doi.org/10.1111/jomf.12719,Migration and Young Women's Access to Maternal Healthcare in sub-Saharan Africa,https://doi.org/10.1016/j.healthplace.2018.12.006
"Coutinho, Raquel",https://orcid.org/0000-0002-2841-1480,Fertility,Live Births and Fertility amidst the Zika Virus Epidemic in Brazil,https://liberalarts.utexas.edu/zika/events/live-births-and-fertility-amidst-the-zika-virus-epidemic-in-brazil,"Life satisfaction in Brazil: an exploration of theoretical correlates and age, period and cohort variations using the World Values Survey (1991-2014)",1991-2014]https://www.scielo.br/scielo.php?pid=S0102-30982020000100151&script=sci_arttext&tlng=en
"Cowan, Sarah",https://www.sarahkcowan.org/,Fertility,Enacted abortion stigma in the United States,https://www.sciencedirect.com/science/article/abs/pii/S0277953617300114,Alternative estimates of lifetime prevalence of abortion from indirect survey questioning methods,https://d1wqtxts1xzle7.cloudfront.net/58636729/Cowan_Wu_England_Makela_Lifetime_Estimates_Abortion_Prevalence.pdf?1552766990=&response-content-disposition=inline%3B+filename%3DAlternative_Estimates_of_Lifetime_Preval.pdf&Expires=1595636437&Signature=Q5oJr6kvzHTJ8QcT7E6yg2Hc07YpMsEhszwyyynQO5bYlerrz4H~mlVrQavw-GRbiqW361-0LCnfOdkLMYcLfWz43DFeCg44ZdizDYJ~7uGY9sE2Zbf8HSVdfd7HRjFnBAa4Dh6hfX7-uYRlWTXU8COjJKOScFCmaNGU~BAICp03cwQ-ZZUneb8WgBjo~3agSiAFE-vWlIXXkMqRzK9mpxmHb6H8YmyfsmhQqx5aRh-1slA1l9SbeScJQuPDgAQeLueCsXFxkriUI8EgpW6K8LcE2-iJBqEbr2vyX79U6JPFzlD~db8z4OUf8Jw1LvZlu8OKM5IOxy7cCSGaik7euQ__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA
"Crimmins, Eileen",https://gero.usc.edu/faculty/crimmins/,"Mortality, health, aging, biodemography",Change in cognitively healthy and cognitively impaired life expectancy in the United States: 2000–2010,https://www.sciencedirect.com/science/article/pii/S2352827316301148,"Aging populations, mortality, and life expectancy",https://www.annualreviews.org/doi/abs/10.1146/annurev-soc-073117-041351
"Crowell, Amber",https://scholar.google.com/citations?user=dgf4d9gAAAAJ&hl=en,"Family, social demography",White and Latino locational attainments: Assessing the role of race and resources in US metropolitan residential segregation,https://journals.sagepub.com/doi/abs/10.1177/2332649217748426,"The Unique Case of Minneapolis–St. Paul, MN: Locational Attainments and Segregation in the Twin Cities",https://link.springer.com/content/pdf/10.1007/s40980-019-00056-0.pdf
"Curran, Sara",https://soc.washington.edu/people/sara-curran,"Migration, environment, economic demography",Engendering migrant networks: The case of Mexican migration,https://link.springer.com/article/10.1353/dem.2003.0011,Mapping gender and migration in sociological scholarship: Is it segregation or integration?,https://journals.sagepub.com/doi/abs/10.1111/j.1747-7379.2006.00008.x
"Curtis, Katherine",https://dces.wisc.edu/people/faculty/katherine-curtis/,"Migration, environment, economic demography",Rural Demography,https://link.springer.com/book/10.1007/978-3-030-10910-3,Recovery Migration after Hurricanes Katrina and Rita: Spatial Concentration and Intensification in the Migration System,https://pubmed.ncbi.nlm.nih.gov/26084982/
"Désesquelles, Aline",https://www.ined.fr/en/research/researchers/D%C3%A9sesquelles+Aline/,"Mortality, health, aging, biodemography","Mortality From Alzheimer’s Disease, Parkinson’s Disease, and Dementias in France and Italy: A Comparison Using the Multiple Cause-of-Death Approach",https://pubmed.ncbi.nlm.nih.gov/24667337/,Revisiting the mortality of France and Italy with the multiple-cause-of-death approach,https://www.demographic-research.org/volumes/vol23/28/default.htm
"Damman, Marleen",https://www.ru.nl/english/people/damman-m/,"Mortality, health, aging, biodemography",Intergenerational Support in the Transition From Work to Retirement,10.1093/workar/waw023,Women's Retirement Intentions and Behavior: The Role of Childbearing and Marital Histories,10.1007/s10680-014-9335-8
"Daponte, Beth",https://www.researchgate.net/scientific-contributions/2141066464_Beth_Osborne_Daponte,"Migration, environment, economic demography",Why do low-income households not use food stamps? Evidence from an experiment,https://doi.org/10.2307/146382,How the private food assistance network evolved: Interactions between public and private responses to hunger,https://doi.org/10.1177/0899764006289771
"Davenport, Romola",https://www.geog.cam.ac.uk/people/davenport/,"Mortality, health, aging, biodemography",The decline of adult smallpox in eighteenth_century London,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1468-0289.2011.00599.x,Year of birth effects in the historical decline of tuberculosis mortality: a reconsideration,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0081797
"de Jong, Petra",https://nidi.nl/en/employees/petra-de-jong/,"Migration, environment, economic demography",The role of the origin country in migration aspirations: A cross national comparison of Master students in Portugal and the Netherlands,10.1002/psp.2325,Intra-European migration decisions and welfare systems: the missing life course link,10.1080/1369183X.2019.1611421
"De Rose, Alessandra",https://web.uniroma1.it/memotef/en/users/de-rose-alessandra,"Family, social demography",Italy: Delayed adaptation of social institutions to changes in family behaviour,https://www.jstor.org/stable/26349260,Socio-Economic Factors and Family Size as Determinants of Marital Dissolution in Italy,https://doi.org/10.1093/oxfordjournals.esr.a036623
"Deeg, Dorly",http://www.emgo.nl/team/186/dorlydeeg/personal-information/,"Mortality, health, aging, biodemography",Attrition in the Longitudinal Aging Study Amsterdam: The effect of differential inclusion in side studies,https://doi.org/10.1016/S0895-43560100475-9,Concepts of self-rated health: Specifying the gender difference in mortality risk,https://doi.org/10.1093/geront/43.3.376
"Denier, Nicole",http://www.nicoledenier.com/,"Migration, environment, economic demography",Sexual Orientation Wage Gap Across Local Labour Market Contexts: Evidence from Canada,https://doi.org/10.7202/1043174ar,Immigrants in Their Parental Homeland: Half a Million US-Born Minors Settle Throughout Mexico,https://doi.org/10.1007/s13524-019-00788-0
"Desai, Sonalde",https://www.sonaldedesai.org/,"Family, social demography",Gender scripts and age at marriage in India,https://link.springer.com/article/10.1353/dem.0.0118,Maternal education and child health: Is there a strong causal relationship?,https://link.springer.com/article/10.2307/3004028
"Devos, Isabelle",https://research.flw.ugent.be/nl/isabelle.devos,"Mortality, health, aging, biodemography","Urban health penalties: estimates of life expectancies in Belgian cities, 1846-1910",https://www.journalbelgianhistory.be/en/journal/belgisch-tijdschrift-voor-nieuwste-geschiedenis-xlv-2015-4/urban-health-penalties-estimates,Spatial inequalities in infant survival at an early stage of the longevity revolution: A pan-European view across 5000 regions and localities in 1910,https://doi.org/10.4054/DemRes.2014.30.68
"Diaconu, Viorela",https://www.demogr.mpg.de/en/about_us_6113/staff_directory_1899/viorela_diaconu_3714/,"Mortality, health, aging, biodemography",Insight on 'typical' longevity: an analysis of the modal lifespan by leading causes of death in Canada,https://www.demographic-research.org/volumes/vol35/17/default.htm,Living and Working Longer in an Aging Society: Toward Increasing Inequalities?,https://ir.lib.uwo.ca/pclc/vol3/iss1/11/
"Diaz, Christina",https://sociology.arizona.edu/people/christina-diaz,"Migration, environment, economic demography",Moving beyond salmon bias: Mexican return migration and health selection,https://link.springer.com/content/pdf/10.1007/s13524-016-0526-2.pdf,"The effect(s) of teen pregnancy: Reconciling theory, methods, and findings","s of teen pregnancy: Reconciling theory, methods, and findings]https://link.springer.com/content/pdf/10.1007/s13524-015-0446-6.pdf"
