clean_affiliation,n,lat,long
University of Reading,1,51.4412092,-0.9453854
University of Saskatchewan,1,52.13316322,-106.6317444
University of Sheffield,1,53.3815327,-1.4806602
University of South Carolina,2,33.9928298,-81.02685166
University of Southampton,16,50.93556897,-1.394085702
University of Southern California,4,34.0218833,-118.2858673
University of Southern Denmark,4,55.3679132,10.42815516
University of St Andrews,6,56.3398198,-2.811793705
University of Stirling,1,56.1451154,-3.917393804
University of Texas at Austin,5,30.2852198,-97.73389273
University of Texas at San Antonio,1,29.58333105,-98.61944505
University of Toronto,1,43.66372992,-79.3956564
University of Trento,1,46.0661497,11.11662319
University of Turku,2,60.45596125,22.28600076
University of Vienna,2,48.2131284,16.36068599
University of Waikato,1,-37.7858739,175.3167665
University of Warsaw,1,52.23784315,21.01726259
University of Washington,6,47.6543238,-122.3080089
University of Western Ontario,2,43.00874455,-81.27855855
University of Wisconsin-Madison,5,43.07982815,-89.43066425
USAID,1,38.8936954,-77.0313398
Utah State University,1,41.75246665,-111.8088345
Vanderbilt University,1,36.14380105,-86.80281889
Victoria University,1,43.667176,-79.3932816
Vienna Institute of Demography,2,48.2146757,16.405203
Wageningen University & Research,1,51.98544495,5.663215777
Washington University in St. Louis,1,38.64724015,-90.30840173
West Virginia University,1,39.27978885,-80.3438921
Wittgenstein Centre,2,50.9287084,10.3985863
World Bank,1,38.89915437,-77.04243536
Yale University,2,41.25713055,-72.9896696
